Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,MVHF01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,MVHF02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,MVHF03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,MVHF04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,MVHF05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,MVHF06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,MVHF07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
8,MVHF08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
9,MVHF09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
10,MVHF10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
11,MVHF11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
12,MVHF12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
13,MVHF13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
14,MVHF14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
15,MVHF15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
16,MVHF16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
17,MVHF17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
18,MVHF18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
19,MVHF19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
20,MVHF20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
21,MVHF21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
22,MVHF22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
23,MVHF23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
24,MVHF24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
25,MVHF25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
