Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR446 1,446.006250,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
2,PMR446 2,446.018750,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
3,PMR446 3,446.031250,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
4,PMR446 4,446.043750,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
5,PMR446 5,446.056250,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
6,PMR446 6,446.068750,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
7,PMR446 7,446.081250,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
8,PMR446 8,446.093750,-,5.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
9,PMR446 9,446.106250,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,PMR446 10,446.118750,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,PMR446 11,446.131250,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,PMR446 12,446.143750,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,PMR446 13,446.156250,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,PMR446 14,446.168750,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,PMR446 15,446.181250,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,PMR446 16,446.193750,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
