Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Sikr01,143.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,Sikr02,143.800000,-,4.500000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,Sikr03,139.225000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,Sikr04,143.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,Sikr05,143.700000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,Sikr06,139.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,Sikr07,143.750000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,Sikr08,143.775000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,Sikr08,143.675000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,Sikr09,143.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,Sikr10,143.675000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,Sikr11,143.550000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,Sikr12,143.850000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,Sikr12A,143.625000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,Sikr12B,143.825000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,Sikr12C,143.575000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,Sikr13,143.525000,-,4.500000,,88.5,88.5,023,NN,FM,5.00,,,,,,
