Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,MAR01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,MAR01A,156.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,MAR02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,MAR02A,156.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,MAR03A,156.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,MAR04A,156.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,MAR05A,156.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,MAR06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,MAR07A,156.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,MAR08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,MAR09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,MAR10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,MAR11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,MAR12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
14,MAR13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,MAR14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MAR15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,MAR17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
19,MAR18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
20,MAR18A,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
21,MAR19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,MAR19A,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,MAR20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,MAR20A,157.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
25,MAR21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,MAR21A,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
